,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,760,101890.09333333005,132678.4,2201.300000000017,246.69999999999985,30531.49999999988,11472.0,37895.0,633.899999999999,9.0,21.829999999999927,20.939999999999916,908.4999999999989,2.0
1,Water,384,87778.99999999999,50.0,2.8,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,230,12481.365999999985,20255.0,1564.0999999999992,1421.1999999999973,310.8999999999998,8932.0,21773.0,354.1999999999996,32785.0,9.109999999999978,49.39000000000014,545.1,2.0
3,Milk,141,4664.0,17601.0,582.4000000000003,732.7000000000007,2140.2999999999984,25397.0,11874.0,1171.000000000001,8823.0,22.690000000000005,15.44999999999999,3.0,2400.0
4,Fried Fish,98,3793.3350000000005,5548.0,945.3000000000004,185.49999999999986,32.3,3298.0,9549.0,50.20000000000002,3680.0,3.8099999999999965,6.489999999999999,502.7,0.0
5,Fried Processed Meat,86,4734.5,8851.0,541.2999999999998,602.5999999999998,307.5999999999999,988.0,3227.0,76.60000000000007,6555.0,21.010000000000023,2.5700000000000003,97.10000000000002,0.0
6,Boiled Vegetable,79,1744.9402772400003,1394.0,81.50000000000001,23.200000000000003,213.39999999999998,2049.0,1162.0,24.900000000000013,3308.0,1.7800000000000005,1.4100000000000008,39.70000000000002,351.0
7,Boiled Fish,44,1960.7700000000002,1908.0,363.49999999999994,44.10000000000001,14.4,1833.0,3921.0,20.300000000000008,1711.0,1.5900000000000005,2.43,193.89999999999998,47.0
8,Boiled Egg,39,2525.94,4186.0,345.00000000000017,310.3,19.5,1853.0,4547.0,87.6,2492.0,2.130000000000001,11.64,65.5,0.0
9,Sauteed Vegetable,32,909.7937499999999,244.0,7.6999999999999975,1.3,49.20000000000001,351.0,178.0,7.6999999999999975,914.0,0.22000000000000006,0.2700000000000001,4.300000000000002,140.0
10,Boiled Noodles,24,983.875,3420.0,74.89999999999999,122.20000000000002,484.09999999999997,238.0,3.0,58.80000000000002,429.0,0.0,0.0,0.0,2.0
11,Fried Vegetable,23,938.6289999999999,739.0,9.700000000000001,56.50000000000001,48.20000000000002,296.0,261.0,4.900000000000001,131.0,0.7800000000000002,0.42000000000000015,6.899999999999999,21.0
12,Sweets,22,800.0,2193.0,45.29999999999999,57.29999999999998,375.30000000000007,1111.0,1410.0,43.59999999999999,0.0,0.06,3.74,23.199999999999996,265.0
13,Fried Pork,18,1323.51,4366.0,203.70000000000002,365.0,69.9,422.0,2146.0,15.3,766.0,5.52,2.1799999999999997,91.39999999999999,12.0
14,Canned Processed Meat,18,457.32,910.0,72.19999999999999,62.2,17.700000000000003,77.0,338.0,11.500000000000004,17.0,0.0,0.4,12.1,0.0
15,Sauteed Noodles,14,552.5,1498.0,52.559999999999995,80.7,144.29999999999998,155.0,339.0,8.4,67.0,0.72,0.29,15.200000000000001,0.0
