,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,232,36184.8,46968.7,790.0999999999991,100.79999999999976,10837.300000000003,4091.0,13998.0,224.50000000000014,9.0,8.549999999999978,7.379999999999983,336.8999999999994,2.0
1,Water,119,26665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fried Egg,81,5091.939999999996,8267.0,660.5000000000001,567.7,129.40000000000006,3746.0,9135.0,149.1000000000001,13595.0,3.799999999999998,20.770000000000014,228.60000000000014,0.0
3,Milk,73,2576.75,10161.0,338.2,429.10000000000014,1226.8999999999992,15541.0,7906.0,952.0999999999996,5590.0,16.4,11.459999999999997,1.6,1838.0
4,Fried Fish,33,1334.6850000000004,1931.0,337.20000000000005,58.600000000000016,12.299999999999999,1008.0,3433.0,17.699999999999996,1456.0,1.4200000000000004,2.48,191.20000000000005,0.0
5,Boiled Egg,25,1693.44,2675.0,231.7000000000001,209.30000000000007,11.400000000000004,1242.0,3049.0,59.30000000000001,1502.0,1.4700000000000006,7.840000000000003,41.800000000000004,0.0
6,Fried Processed Meat,23,1355.75,2771.0,166.35000000000002,197.1,84.4,350.0,1228.0,21.400000000000002,1108.0,3.419999999999999,0.9500000000000001,36.699999999999996,0.0
7,Boiled Vegetable,20,514.8725,391.0,27.200000000000003,2.1000000000000005,65.0,809.0,432.0,7.099999999999999,569.0,0.41000000000000003,0.3400000000000001,10.399999999999997,73.0
8,Boiled Fish,16,777.94,853.0,164.1,19.700000000000003,4.8,431.0,1653.0,9.4,795.0,1.0000000000000002,1.3300000000000003,94.5,24.0
9,Sauteed Vegetable,14,520.9100000000001,104.0,2.2,0.6,21.6,144.0,75.0,2.2000000000000006,212.0,0.08,0.07,1.4000000000000001,62.0
10,Sweets,12,264.0,885.0,21.999999999999996,33.7,165.2,640.0,816.0,26.099999999999998,0.0,0.0,2.46,17.0,127.0
11,Boiled Noodles,8,246.0,1010.0,24.5,35.099999999999994,141.89999999999998,62.0,0.0,16.1,148.0,0.0,0.0,0.0,0.0
12,Fried Vegetable,8,438.44,165.0,4.4,5.8,24.400000000000002,148.0,124.0,2.5,57.0,0.41999999999999993,0.19999999999999998,3.3999999999999995,12.0
13,Biscuit,7,194.5,890.0,22.4,29.3,124.6,121.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
14,Canned Processed Meat,7,192.32999999999998,383.0,29.400000000000002,26.5,7.1,36.0,159.0,10.0,8.0,0.01,0.19,5.6,0.0
