,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,178,21342.399999999998,27740.4,458.49999999999886,50.700000000000024,6430.100000000008,2408.0,7917.0,133.90000000000003,0.0,4.5399999999999965,4.489999999999997,189.30000000000007,0.0
1,Water,92,21760.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fried Egg,58,2754.679999999998,4621.0,342.00000000000006,328.90000000000003,73.40000000000002,2021.0,4939.0,78.2,7910.0,2.010000000000001,10.930000000000005,127.29999999999997,0.0
3,Boiled Vegetable,30,611.4877772399999,488.0,22.5,2.0000000000000004,94.99999999999997,905.0,396.0,9.8,1109.0,0.48000000000000015,0.3800000000000001,8.0,133.0
4,Fried Fish,22,600.52,965.0,157.7,33.9,7.0,1007.0,1762.0,9.8,502.0,0.43,0.9700000000000001,85.3,0.0
5,Milk,18,515.0,2152.0,74.39999999999999,88.19999999999999,260.3,3231.0,1579.0,135.1,1264.0,2.7099999999999995,1.7500000000000002,0.0,286.0
6,Fried Processed Meat,17,888.5,1741.0,112.10000000000001,122.2,47.599999999999994,238.0,786.0,17.099999999999998,1438.0,2.2299999999999986,0.6300000000000001,23.4,0.0
7,Sauteed Vegetable,10,258.54125,64.0,2.7,0.4,12.299999999999999,126.0,53.0,3.2000000000000006,370.0,0.09,0.12999999999999998,1.5,60.0
8,Boiled Fish,8,657.24,290.0,56.900000000000006,6.7,0.0,135.0,560.0,2.6,254.0,0.18,0.32,27.199999999999996,0.0
9,Sweets,6,408.0,772.0,16.4,9.799999999999999,155.0,246.0,384.0,13.6,0.0,0.06,1.1600000000000001,9.6,56.0
10,Coffee,5,94.0,373.0,7.5,5.6,72.9,40.0,110.0,0.5,0.0,0.0,0.1,17.2,0.0
11,Boiled Egg,4,240.0,306.0,32.3,28.799999999999997,2.9,176.0,432.0,8.0,340.0,0.19,1.07,7.4,0.0
12,Raw Fruit,4,260.0,313.0,3.4,0.6,73.3,54.0,89.0,2.1999999999999997,123.0,0.09,0.12,2.0,66.0
13,Sauteed Noodles,4,161.25,295.0,4.199999999999999,15.2,35.3,9.0,32.0,0.6,28.0,0.08,0.04,1.8,0.0
14,Boiled Leafy Vegetable,3,97.2,42.0,1.9,0.6000000000000001,7.4,77.0,18.0,2.1,422.0,0.05,0.09,1.1,49.0
15,Biscuit,3,118.0,542.0,12.7,19.3,79.7,55.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0
16,Fried Chicken,3,80.0,228.0,14.4,18.9,0.1,50.0,78.0,1.1,52.0,0.04,0.06,4.9,2.0
17,Dried Fish,3,37.5,83.0,17.2,1.6,0.0,507.0,246.0,1.9,71.0,0.0,0.06,9.0,0.0
18,Fried Vegetable,3,77.5,106.0,0.7,9.9,3.4000000000000004,21.0,19.0,0.30000000000000004,9.0,0.05,0.03,0.5,0.0
19,Fried Beef,3,127.0,273.0,15.9,20.5,6.1,58.0,188.0,2.0,140.0,0.04,0.14,6.2,0.0
20,Fermented Fish,3,22.5,22.0,4.699999999999999,0.4,0.0,187.0,102.0,1.7,27.0,0.0,0.04,1.7,0.0
21,Boiled Noodles,3,293.75,373.0,4.2,7.5,71.3,25.0,3.0,4.2,0.0,0.0,0.0,0.0,0.0
22,Fresh Fruit,2,125.0,65.0,0.7,0.5,14.5,41.0,16.0,1.2,66.0,0.05,0.04,0.6,81.0
23,Baked Bread,2,93.33,299.0,9.8,3.3000000000000003,57.4,55.0,92.0,2.9,2.0,0.28,0.15,4.0,0.0
24,Condiment,2,20.0,180.0,0.0,19.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Boiled Pork,2,60.0,225.0,9.1,21.0,0.1,10.0,91.0,0.6,24.0,0.2,0.07,3.4000000000000004,1.0
26,Canned Processed Meat,2,70.0,143.0,10.5,10.5,1.4,19.0,84.0,0.7,4.0,0.0,0.1,3.0,0.0
27,Fried Pork,1,38.19,94.0,4.7,8.3,0.0,13.0,60.0,0.4,36.0,0.06,0.06,2.3,0.0
28,Fried Sweets,1,20.0,48.0,0.6,0.8,9.6,5.0,13.0,0.1,5.0,0.02,0.01,0.3,0.0
29,Roasted Pork,1,30.0,64.0,4.2,5.2,0.0,17.0,47.0,0.5,14.0,0.05,0.05,1.8,0.0
30,Boiled Others,1,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Fruit,1,65.0,46.0,0.4,0.1,10.7,7.0,12.0,0.4,126.0,0.06,0.05,0.6,30.0
32,Fish,1,66.6,85.0,6.8,5.1,2.9,117.0,131.0,0.0,12.0,0.01,0.13,4.2,0.0
33,Stir-fried Leafy Vegetable,1,38.115,11.0,0.6,0.2,1.8,19.0,10.0,0.5,98.0,0.01,0.03,0.3,4.0
34,Stir-fried Vegetable,1,45.0,19.0,1.4,0.1,3.2,27.0,21.0,0.4,19.0,0.05,0.05,0.7,10.0
35,Grilled Chicken/Beef/Pork,1,15.12,46.0,2.6,4.0,0.0,2.0,33.0,0.2,2.0,0.08,0.02,1.1,0.0
36,Canned Processed Food,1,22.9,90.0,3.3,8.5,0.0,3.0,26.0,0.2,1.0,0.13,0.03,1.6,0.0
37,Boiled Chicken,1,20.85,40.0,3.9,2.8,0.0,13.0,30.0,0.3,6.0,0.01,0.02,1.7,1.0
