,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,55,6092.8,8028.0,133.50000000000009,13.099999999999993,1850.799999999999,697.0,2302.0,38.199999999999996,0.0,1.350000000000001,1.310000000000001,55.000000000000014,0.0
1,Water,24,5219.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Milk,16,498.0,2277.0,78.79999999999998,91.5,280.29999999999995,3479.0,1900.0,47.8,1568.0,3.0300000000000002,1.9400000000000008,0.0,238.0
3,Fried Egg,14,752.4200000000001,1245.0,93.69999999999999,88.30000000000001,18.599999999999998,547.0,1340.0,21.7,2006.0,0.5499999999999999,2.98,33.2,0.0
4,Boiled Vegetable,10,261.845,265.0,12.299999999999999,0.4,53.1,492.0,238.0,3.8000000000000003,131.0,0.25,0.12000000000000001,4.1000000000000005,19.0
5,Fried Processed Meat,9,491.0,909.0,56.099999999999994,57.5,39.0,70.0,182.0,13.499999999999998,1337.0,2.05,0.14,5.4,0.0
6,Fried Fish,5,114.315,231.0,32.5,10.2,2.5,187.0,359.0,2.8,158.0,0.08,0.17,15.299999999999999,0.0
7,Boiled Noodles,4,296.25,397.0,4.3,7.8999999999999995,76.1,32.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
8,Raw Fruit,3,220.0,271.0,2.9,0.5,63.5,47.0,75.0,1.9,121.0,0.08,0.11,1.7000000000000002,58.0
9,Biscuit,3,116.0,537.0,11.600000000000001,19.1,80.0,93.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0
10,Sauteed Vegetable,3,56.9475,23.0,0.5,0.2,4.9,23.0,15.0,0.30000000000000004,40.0,0.03,0.03,0.4,4.0
11,Boiled Fish,2,75.32,76.0,15.2,1.6,0.0,37.0,156.0,0.6000000000000001,28.0,0.03,0.05,5.3,0.0
12,Condiment,2,20.0,180.0,0.0,19.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Stir-fried Vegetable,1,45.0,23.0,1.8,0.2,3.6,33.0,19.0,0.4,23.0,0.05,0.05,0.7,7.0
14,Roasted Pork,1,30.0,64.0,4.2,5.2,0.0,17.0,47.0,0.5,14.0,0.05,0.05,1.8,0.0
15,Fried Chicken,1,45.0,87.0,8.5,5.9,0.0,27.0,64.0,0.5,13.0,0.02,0.04,3.6,2.0
16,Sauteed Noodles,1,18.75,22.0,0.1,0.1,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Boiled Others,1,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Baked Bread,1,13.33,44.0,1.3,0.6,8.4,3.0,10.0,0.4,0.0,0.03,0.02,0.6,0.0
19,Boiled Pork,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Fermented Fish,1,2.5,3.0,0.6,0.0,0.0,21.0,13.0,0.2,0.0,0.0,0.0,0.2,0.0
21,Boiled Chicken,1,20.85,40.0,3.9,2.8,0.0,13.0,30.0,0.3,6.0,0.01,0.02,1.7,1.0
