,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,216,29436.260000000002,38497.0,645.6999999999994,84.29999999999997,8809.600000000008,3319.0,11013.0,182.4000000000001,9.0,6.599999999999981,6.169999999999986,264.59999999999985,2.0
1,Water,105,24033.0,50.0,1.7,2.1,5.9,132.0,0.0,92.4,0.0,0.0,0.0,0.0,66.0
2,Fried Egg,62,3260.8959999999984,5274.0,402.00000000000006,370.2000000000002,83.60000000000001,2299.0,5600.0,90.20000000000003,8741.0,2.310000000000001,12.670000000000012,144.5,0.0
3,Milk,47,2006.5,5708.0,194.2,235.79999999999993,692.5,8231.0,4141.0,481.4,2824.0,8.49,6.159999999999999,3.0,920.0
4,Fried Fish,32,1214.9900000000002,1833.0,289.40000000000003,65.60000000000001,19.700000000000003,889.0,2803.0,14.399999999999999,1175.0,1.1800000000000004,1.9800000000000009,156.9,0.0
5,Boiled Vegetable,25,634.7574999999999,563.0,41.30000000000001,19.8,54.9,329.0,439.0,8.399999999999999,1207.0,1.02,0.7300000000000002,26.3,122.0
6,Fried Processed Meat,16,1064.0,2059.0,129.4,144.1,62.60000000000001,272.0,936.0,14.599999999999998,1314.0,2.3299999999999996,0.7100000000000001,27.9,0.0
7,Boiled Fish,16,785.55,853.0,160.20000000000002,21.400000000000002,4.8,424.0,1636.0,9.500000000000002,851.0,1.12,1.4800000000000002,100.0,24.0
8,Sauteed Vegetable,8,247.02125,77.0,1.9000000000000001,0.6,15.399999999999999,107.0,55.0,1.2000000000000002,154.0,0.05,0.05,1.2000000000000002,43.0
9,Boiled Noodles,8,276.25,1119.0,25.4,42.9,150.79999999999998,79.0,0.0,22.0,106.0,0.0,0.0,0.0,0.0
10,Boiled Egg,6,360.0,612.0,46.8,44.4,2.4,264.0,648.0,12.6,318.0,0.3,1.6800000000000002,9.0,0.0
11,Fried Pork,6,480.04,1416.0,68.8,104.5,49.8,194.0,905.0,5.9,268.0,2.2,0.71,33.0,2.0
12,Fried Beef,6,337.55,547.2,25.2,24.7,55.8,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0
13,Fried Vegetable,5,434.3,169.0,4.3,5.8999999999999995,24.9,150.0,124.0,2.5999999999999996,56.0,0.43,0.21,3.3,21.0
14,Fresh Fruit,5,365.0,200.0,2.2,1.3,45.0,112.0,52.0,3.5999999999999996,194.0,0.16999999999999998,0.13,2.3,208.0
15,Raw Fruit,5,225.0,240.0,2.8,0.6,56.0,39.0,78.0,1.7000000000000002,22.0,0.060000000000000005,0.060000000000000005,1.7000000000000002,47.0
16,Sauteed Noodles,4,143.75,252.0,3.1,2.0,55.300000000000004,10.0,25.0,1.0,0.0,0.01,0.01,0.6000000000000001,0.0
17,Dried Fish,4,90.805,153.0,31.6,2.9000000000000004,0.0,660.0,412.0,4.6000000000000005,180.0,0.01,0.1,15.1,0.0
18,Canned Processed Meat,4,103.33,196.0,16.2,13.0,5.3,12.0,52.0,0.4,3.0,0.0,0.06,1.9,0.0
19,Boiled Pork,3,142.74,479.0,23.4,42.8,0.30000000000000004,21.0,273.0,1.4000000000000001,32.0,0.62,0.17,9.3,3.0
20,Braised Chicken,3,96.13999999999999,152.0,19.2,8.5,0.0,18.0,135.0,1.0,23.0,0.08,0.09,10.8,1.0
21,Fruit,3,165.0,136.0,1.2,0.4,31.6,21.0,32.0,1.1,163.0,0.10999999999999999,0.08,1.0999999999999999,69.0
22,Biscuit,3,95.0,440.0,9.8,14.6,66.6,121.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
23,Roasted Others,2,60.0,116.0,9.3,8.0,1.9,35.0,62.0,0.6000000000000001,517.0,0.08,0.16,3.5,0.0
24,Fried Chicken,2,46.7,130.0,7.1,11.3,0.0,5.0,43.0,0.4,6.0,0.04,0.06,3.2,2.0
25,Coffee,2,52.0,249.0,1.3,9.1,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Boiled Chicken,2,50.85,79.0,10.4,4.3,0.0,20.0,79.0,0.6,15.0,0.03,0.04,5.7,1.0
27,Boiled Others,2,70.0,99.0,17.5,3.1,0.0,38.0,179.0,1.0,26.0,0.07,0.11,7.9,0.0
28,Sweets,2,46.0,188.0,5.0,4.8,31.4,115.0,146.0,6.1,0.0,0.0,0.5700000000000001,0.0,30.0
29,Boiled Beef,1,30.0,44.0,7.6,1.5,0.0,10.0,52.0,0.8,64.0,0.03,0.05,2.6,0.0
30,Juice,1,200.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,75.0
31,Processed Sweets,1,10.0,38.0,0.4,0.2,8.8,17.0,11.0,0.0,17.0,0.02,0.04,0.1,0.0
32,Sauteed Pork,1,82.74,254.0,14.3,21.8,0.2,11.0,182.0,0.8,8.0,0.42,0.1,5.9,2.0
33,Stir-fried Leafy Vegetable,1,20.88,8.0,0.7,0.1,1.0,19.0,13.0,1.0,90.0,0.02,0.04,0.4,6.0
34,Sauteed Fish,1,22.5,35.0,6.5,0.9,0.2,46.0,39.0,0.2,0.0,0.0,0.02,2.5,0.0
35,Processed Meat,1,50.0,220.0,14.8,16.6,2.9,46.0,125.0,2.7,0.0,0.08,0.18,5.4,0.0
36,Grilled Pork,1,60.0,96.0,6.7,7.6,0.0,6.0,63.0,0.6,57.0,0.28,0.12,4.4,0.0
37,Stir-fried Pork/Chicken,1,23.33,29.0,4.2,0.9,0.9,3.0,35.0,0.8,2153.0,0.07,1.05,3.3,8.0
38,Fried Chicken/Pork,1,10.0,90.0,0.0,9.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Braised Fish,1,56.0,64.0,14.6,0.6,0.0,89.0,109.0,1.2,61.0,0.01,0.02,7.8,0.0
40,Baked Bread,1,13.33,44.0,1.3,0.6,8.4,3.0,10.0,0.4,0.0,0.03,0.02,0.6,0.0
41,Boiled Seafood,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Roasted Pork,1,30.0,92.0,5.2,7.9,0.1,4.0,66.0,0.3,3.0,0.15,0.04,2.2,1.0
43,Condiment,1,30.0,119.0,0.0,0.1,29.6,44.0,4.0,0.1,0.0,0.0,0.02,0.0,0.0
