,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,411,61075.700000000026,79444.1,1317.0000000000027,142.39999999999972,18398.899999999954,6899.0,23339.0,381.4999999999997,0.0,13.62999999999994,12.41999999999995,559.099999999998,0.0
1,Water,227,54479.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fried Egg,132,7497.569999999989,12157.0,950.6999999999999,846.3999999999992,193.50000000000006,5365.0,13049.0,211.9000000000001,20055.0,5.459999999999997,29.65000000000005,333.3000000000002,2.0
3,Milk,92,3012.25,12226.0,404.2000000000001,516.7000000000003,1471.399999999999,17973.0,8061.0,885.3999999999999,5858.0,15.979999999999993,11.089999999999993,1.6,1755.0
4,Fried Fish,61,2519.885,3483.0,631.3000000000005,98.69999999999996,15.0,2185.0,6510.0,34.80000000000001,2604.0,2.919999999999998,4.730000000000001,359.0999999999999,0.0
5,Fried Processed Meat,55,2985.5,5955.0,349.45,425.8,165.6,674.0,2319.0,49.50000000000003,2735.0,8.759999999999991,1.8100000000000012,69.3,0.0
6,Boiled Vegetable,37,821.4812499999999,685.0,39.500000000000014,3.300000000000001,123.39999999999999,1298.0,660.0,10.799999999999999,1249.0,0.6700000000000002,0.5000000000000001,15.099999999999994,121.0
7,Boiled Egg,29,1912.74,2946.0,261.0000000000001,235.4000000000001,14.100000000000007,1403.0,3443.0,66.50000000000001,1821.0,1.6200000000000006,8.840000000000002,48.9,0.0
8,Boiled Fish,29,1149.1399999999999,1272.0,239.99999999999997,28.299999999999997,14.4,733.0,2305.0,12.9,1310.0,1.0200000000000002,1.6700000000000004,122.49999999999996,47.0
9,Sweets,20,754.0,2123.0,32.8,78.49999999999997,362.4000000000001,691.0,874.0,24.799999999999997,0.0,0.06,1.9800000000000002,13.0,174.0
10,Sauteed Vegetable,17,605.41,145.0,3.7000000000000006,0.7,29.799999999999997,164.0,91.0,3.1,420.0,0.09,0.1,2.2,47.0
11,Fried Pork,11,782.79,2543.0,128.7,205.0,49.7,251.0,1238.0,9.5,531.0,3.74,1.4400000000000002,58.4,6.0
12,Canned Processed Meat,10,274.99,551.0,44.0,38.0,10.200000000000001,47.0,207.0,1.6,10.0,0.01,0.25,7.3,0.0
13,Baked Bread,10,379.95666667,1249.0,38.2,16.099999999999998,237.70000000000002,129.0,304.0,11.799999999999999,1.0,0.8799999999999999,0.5700000000000001,17.599999999999998,0.0
