,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,{'Fried Egg'},{'Boiled Rice'},0.30025125628140703,0.9786432160804021,0.2989949748743719,0.99581589958159,1.0175474403940252,0.005156119794954672,5.104271356783963
1,{'Boiled Rice'},{'Fried Egg'},0.9786432160804021,0.30025125628140703,0.2989949748743719,0.3055198973042362,1.017547440394025,0.005156119794954672,1.0075864535245542
2,"{'Fried Egg', 'Water'}",{'Boiled Rice'},0.14321608040201006,0.9786432160804021,0.14321608040201006,1.0,1.0218228498074453,0.0030586348829574894,inf
3,{'Boiled Rice'},"{'Fried Egg', 'Water'}",0.9786432160804021,0.14321608040201006,0.14321608040201006,0.14634146341463414,1.0218228498074453,0.0030586348829574894,1.0036611629576453
4,{'Fried Fish'},{'Boiled Rice'},0.13442211055276382,0.9786432160804021,0.13190954773869346,0.9813084112149532,1.00272335728768,0.0003582611550213277,1.142587939698483
5,{'Boiled Rice'},{'Fried Fish'},0.9786432160804021,0.13442211055276382,0.13190954773869346,0.13478818998716302,1.0027233572876801,0.0003582611550213277,1.0004231096133485
6,{'Fried Processed Meat'},{'Boiled Rice'},0.10804020100502512,0.9786432160804021,0.10678391959798995,0.9883720930232559,1.0099411887631728,0.001051109820459084,1.8366834170854374
7,{'Boiled Rice'},{'Fried Processed Meat'},0.9786432160804021,0.10804020100502512,0.10678391959798995,0.10911424903722722,1.0099411887631728,0.001051109820459084,1.0012055957018522
8,{'Boiled Vegetable'},{'Boiled Rice'},0.09170854271356783,0.9786432160804021,0.09045226130653267,0.9863013698630138,1.007825276522412,0.0007023181232797132,1.5590452261306562
9,{'Boiled Rice'},{'Boiled Vegetable'},0.9786432160804021,0.09170854271356783,0.09045226130653267,0.09242618741976893,1.007825276522412,0.0007023181232797132,1.0007907287498312
10,{'Fried Fish'},{'Water'},0.13442211055276382,0.5025125628140703,0.07412060301507538,0.5514018691588786,1.0972897196261684,0.00657180374232974,1.1089824120603018
