,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,{'Fried Egg'},{'Boiled Rice'},0.3333333333333333,0.9836065573770492,0.3333333333333333,1.0,1.0166666666666666,0.005464480874316946,inf
1,{'Boiled Rice'},{'Fried Egg'},0.9836065573770492,0.3333333333333333,0.3333333333333333,0.33888888888888885,1.0166666666666666,0.005464480874316946,1.0084033613445378
2,"{'Fried Egg', 'Water'}",{'Boiled Rice'},0.13114754098360656,0.9836065573770492,0.13114754098360656,1.0,1.0166666666666666,0.002149959688255848,inf
3,{'Boiled Rice'},"{'Fried Egg', 'Water'}",0.9836065573770492,0.13114754098360656,0.13114754098360656,0.13333333333333333,1.0166666666666666,0.002149959688255848,1.0025220680958384
4,{'Fried Processed Meat'},{'Boiled Rice'},0.13114754098360656,0.9836065573770492,0.13114754098360656,1.0,1.0166666666666666,0.002149959688255848,inf
5,{'Boiled Rice'},{'Fried Processed Meat'},0.9836065573770492,0.13114754098360656,0.13114754098360656,0.13333333333333333,1.0166666666666666,0.002149959688255848,1.0025220680958384
6,{'Fried Fish'},{'Boiled Rice'},0.13114754098360656,0.9836065573770492,0.13114754098360656,1.0,1.0166666666666666,0.002149959688255848,inf
7,{'Boiled Rice'},{'Fried Fish'},0.9836065573770492,0.13114754098360656,0.13114754098360656,0.13333333333333333,1.0166666666666666,0.002149959688255848,1.0025220680958384
8,{'Milk'},"{'Fried Egg', 'Boiled Rice'}",0.3551912568306011,0.3333333333333333,0.12021857923497267,0.3384615384615384,1.0153846153846153,0.0018214936247723107,1.0077519379844961
9,{'Milk'},{'Fried Egg'},0.3551912568306011,0.3333333333333333,0.12021857923497267,0.3384615384615384,1.0153846153846153,0.0018214936247723107,1.0077519379844961
10,{'Fried Egg'},{'Milk'},0.3333333333333333,0.3551912568306011,0.12021857923497267,0.36065573770491804,1.0153846153846153,0.0018214936247723107,1.0085470085470085
11,{'Boiled Rice'},"{'Fried Egg', 'Milk'}",0.9836065573770492,0.12021857923497267,0.12021857923497267,0.12222222222222222,1.0166666666666666,0.0019707963809011964,1.002282631251297
12,"{'Milk', 'Boiled Rice'}",{'Fried Egg'},0.3442622950819672,0.3333333333333333,0.12021857923497267,0.3492063492063492,1.0476190476190477,0.005464480874316946,1.024390243902439
13,{'Fried Egg'},"{'Milk', 'Boiled Rice'}",0.3333333333333333,0.3442622950819672,0.12021857923497267,0.36065573770491804,1.0476190476190477,0.005464480874316946,1.0256410256410258
14,"{'Fried Egg', 'Boiled Rice'}",{'Milk'},0.3333333333333333,0.3551912568306011,0.12021857923497267,0.36065573770491804,1.0153846153846153,0.0018214936247723107,1.0085470085470085
15,"{'Fried Egg', 'Milk'}",{'Boiled Rice'},0.12021857923497267,0.9836065573770492,0.12021857923497267,1.0,1.0166666666666666,0.0019707963809011964,inf
16,"{'Fried Fish', 'Water'}",{'Boiled Rice'},0.07650273224043716,0.9836065573770492,0.07650273224043716,1.0,1.0166666666666666,0.0012541431514825757,inf
17,{'Water'},"{'Fried Fish', 'Boiled Rice'}",0.453551912568306,0.13114754098360656,0.07650273224043716,0.16867469879518074,1.286144578313253,0.017020514198692105,1.0451413637443572
18,{'Fried Fish'},"{'Water', 'Boiled Rice'}",0.13114754098360656,0.4371584699453552,0.07650273224043716,0.5833333333333334,1.334375,0.019170473886947953,1.3508196721311476
19,{'Boiled Rice'},"{'Fried Fish', 'Water'}",0.9836065573770492,0.07650273224043716,0.07650273224043716,0.07777777777777778,1.0166666666666666,0.0012541431514825757,1.001382579498321
20,"{'Fried Fish', 'Boiled Rice'}",{'Water'},0.13114754098360656,0.453551912568306,0.07650273224043716,0.5833333333333334,1.286144578313253,0.017020514198692105,1.3114754098360655
21,"{'Water', 'Boiled Rice'}",{'Fried Fish'},0.4371584699453552,0.13114754098360656,0.07650273224043716,0.17500000000000002,1.334375,0.019170473886947953,1.0531544957774466
22,{'Water'},{'Fried Fish'},0.453551912568306,0.13114754098360656,0.07650273224043716,0.16867469879518074,1.286144578313253,0.017020514198692105,1.0451413637443572
23,{'Fried Fish'},{'Water'},0.13114754098360656,0.453551912568306,0.07650273224043716,0.5833333333333334,1.286144578313253,0.017020514198692105,1.3114754098360655
24,{'Fried Processed Meat'},{'Fried Egg'},0.13114754098360656,0.3333333333333333,0.07103825136612021,0.5416666666666666,1.625,0.027322404371584695,1.4545454545454546
25,{'Fried Egg'},{'Fried Processed Meat'},0.3333333333333333,0.13114754098360656,0.07103825136612021,0.21311475409836064,1.6249999999999998,0.027322404371584695,1.1041666666666667
26,"{'Fried Processed Meat', 'Fried Egg'}",{'Boiled Rice'},0.07103825136612021,0.9836065573770492,0.07103825136612021,1.0,1.0166666666666666,0.0011645614978052499,inf
27,"{'Fried Processed Meat', 'Boiled Rice'}",{'Fried Egg'},0.13114754098360656,0.3333333333333333,0.07103825136612021,0.5416666666666666,1.625,0.027322404371584695,1.4545454545454546
28,"{'Fried Egg', 'Boiled Rice'}",{'Fried Processed Meat'},0.3333333333333333,0.13114754098360656,0.07103825136612021,0.21311475409836064,1.6249999999999998,0.027322404371584695,1.1041666666666667
29,{'Fried Processed Meat'},"{'Fried Egg', 'Boiled Rice'}",0.13114754098360656,0.3333333333333333,0.07103825136612021,0.5416666666666666,1.625,0.027322404371584695,1.4545454545454546
30,{'Fried Egg'},"{'Fried Processed Meat', 'Boiled Rice'}",0.3333333333333333,0.13114754098360656,0.07103825136612021,0.21311475409836064,1.6249999999999998,0.027322404371584695,1.1041666666666667
31,{'Boiled Rice'},"{'Fried Processed Meat', 'Fried Egg'}",0.9836065573770492,0.07103825136612021,0.07103825136612021,0.07222222222222222,1.0166666666666666,0.0011645614978052499,1.001276136252086
32,{'Fried Processed Meat'},{'Water'},0.13114754098360656,0.453551912568306,0.06557377049180328,0.5,1.1024096385542168,0.006091552450058227,1.0928961748633879
33,{'Boiled Rice'},{'Boiled Vegetable'},0.9836065573770492,0.06557377049180328,0.06557377049180328,0.06666666666666667,1.0166666666666666,0.001074979844127924,1.0011709601873537
34,{'Boiled Vegetable'},{'Boiled Rice'},0.06557377049180328,0.9836065573770492,0.06557377049180328,1.0,1.0166666666666666,0.001074979844127924,inf
35,{'Boiled Rice'},{'Boiled Egg'},0.9836065573770492,0.06557377049180328,0.06557377049180328,0.06666666666666667,1.0166666666666666,0.001074979844127924,1.0011709601873537
36,{'Boiled Egg'},{'Boiled Rice'},0.06557377049180328,0.9836065573770492,0.06557377049180328,1.0,1.0166666666666666,0.001074979844127924,inf
37,{'Water'},{'Fried Processed Meat'},0.453551912568306,0.13114754098360656,0.06557377049180328,0.14457831325301204,1.1024096385542168,0.006091552450058227,1.0157007619487417
38,{'Water'},"{'Fried Processed Meat', 'Boiled Rice'}",0.453551912568306,0.13114754098360656,0.06557377049180328,0.14457831325301204,1.1024096385542168,0.006091552450058227,1.0157007619487417
39,"{'Fried Processed Meat', 'Water'}",{'Boiled Rice'},0.06557377049180328,0.9836065573770492,0.06557377049180328,1.0,1.0166666666666666,0.001074979844127924,inf
40,"{'Water', 'Boiled Rice'}",{'Fried Processed Meat'},0.4371584699453552,0.13114754098360656,0.06557377049180328,0.15000000000000002,1.14375,0.008241512138314075,1.0221793635486982
41,"{'Fried Processed Meat', 'Boiled Rice'}",{'Water'},0.13114754098360656,0.453551912568306,0.06557377049180328,0.5,1.1024096385542168,0.006091552450058227,1.0928961748633879
42,{'Boiled Rice'},"{'Fried Processed Meat', 'Water'}",0.9836065573770492,0.06557377049180328,0.06557377049180328,0.06666666666666667,1.0166666666666666,0.001074979844127924,1.0011709601873537
43,{'Fried Processed Meat'},"{'Water', 'Boiled Rice'}",0.13114754098360656,0.4371584699453552,0.06557377049180328,0.5,1.14375,0.008241512138314075,1.1256830601092895
44,{'Sauteed Vegetable'},{'Boiled Rice'},0.0546448087431694,0.9836065573770492,0.0546448087431694,1.0,1.0166666666666666,0.0008958165367732723,inf
45,{'Boiled Rice'},{'Sauteed Vegetable'},0.9836065573770492,0.0546448087431694,0.0546448087431694,0.05555555555555555,1.0166666666666666,0.0008958165367732723,1.0009643201542913
46,"{'Boiled Egg', 'Boiled Rice'}",{'Water'},0.06557377049180328,0.453551912568306,0.04371584699453552,0.6666666666666666,1.469879518072289,0.013974737973662991,1.6393442622950816
47,"{'Water', 'Boiled Rice'}",{'Boiled Egg'},0.4371584699453552,0.06557377049180328,0.04371584699453552,0.1,1.525,0.015049717817790915,1.0382513661202186
48,"{'Water', 'Boiled Egg'}",{'Boiled Rice'},0.04371584699453552,0.9836065573770492,0.04371584699453552,1.0,1.0166666666666666,0.0007166532294186137,inf
49,{'Boiled Rice'},"{'Water', 'Boiled Egg'}",0.9836065573770492,0.04371584699453552,0.04371584699453552,0.044444444444444446,1.0166666666666666,0.0007166532294186137,1.000762485703393
50,{'Boiled Egg'},"{'Water', 'Boiled Rice'}",0.06557377049180328,0.4371584699453552,0.04371584699453552,0.6666666666666666,1.525,0.015049717817790915,1.688524590163934
51,{'Water'},"{'Boiled Egg', 'Boiled Rice'}",0.453551912568306,0.06557377049180328,0.04371584699453552,0.0963855421686747,1.4698795180722892,0.013974737973662991,1.0340983606557377
52,{'Boiled Egg'},{'Water'},0.06557377049180328,0.453551912568306,0.04371584699453552,0.6666666666666666,1.469879518072289,0.013974737973662991,1.6393442622950816
53,{'Water'},{'Boiled Egg'},0.453551912568306,0.06557377049180328,0.04371584699453552,0.0963855421686747,1.4698795180722892,0.013974737973662991,1.0340983606557377
54,"{'Fried Egg', 'Milk', 'Water'}",{'Boiled Rice'},0.03825136612021858,0.9836065573770492,0.03825136612021858,1.0,1.0166666666666666,0.0006270715757412879,inf
