,Group + Cooking Method,Frequency,Weight,Calories,Protein,Fat,Carbohydrates,Calcium (mg),Phosphorus (mg),Iron (mg),Vitamin A (ug RE),Thiamin (mg),Riboflavin (mg),Niacin (mg NE),Vitamin C (mg)
0,Boiled Rice,180,28400.133333329995,37129.7,628.4999999999993,85.29999999999984,8568.900000000003,3239.0,11237.0,177.5000000000001,9.0,6.999999999999985,5.829999999999989,270.8999999999998,2.0
1,Water,83,18639.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Milk,65,1966.25,8589.0,284.49999999999994,361.3000000000001,1043.4,12887.0,7027.0,557.0000000000001,5051.0,14.799999999999992,9.999999999999996,0.0,1410.0
3,Fried Egg,61,3926.2899999999986,6363.0,506.7,437.1000000000003,100.80000000000004,2891.0,7043.0,114.80000000000004,10593.0,2.909999999999999,15.970000000000006,177.00000000000006,0.0
4,Fried Fish,24,1234.105,1699.0,284.9,56.0,12.2,830.0,2879.0,14.1,1074.0,1.1500000000000004,2.0600000000000005,150.10000000000002,0.0
5,Fried Processed Meat,24,1156.75,2407.0,155.4,157.1,105.20000000000002,204.0,691.0,11.0,959.0,19.160000000000004,0.56,20.6,0.0
6,Boiled Fish,12,599.0600000000001,688.0,137.4,15.4,0.0,324.0,1385.0,7.0,471.0,0.7900000000000001,1.0000000000000002,78.69999999999999,0.0
7,Boiled Egg,12,785.94,1132.0,108.89999999999999,97.10000000000001,5.300000000000001,577.0,1415.0,27.500000000000004,697.0,0.68,3.6400000000000006,19.4,0.0
8,Boiled Vegetable,12,238.125,197.0,11.2,0.8,35.7,472.0,196.0,3.7,371.0,0.2,0.16,3.3,46.0
9,Sauteed Vegetable,10,352.3625,66.0,1.5000000000000002,0.4,13.8,91.0,51.0,1.8000000000000003,190.0,0.060000000000000005,0.07,0.9999999999999999,41.0
10,Boiled Noodles,7,153.5,710.0,16.8,22.300000000000004,105.39999999999999,52.0,0.0,12.299999999999999,148.0,0.0,0.0,0.0,0.0
11,Sauteed Noodles,6,427.25,1236.0,31.900000000000002,70.5,118.39999999999999,34.0,241.0,3.5,63.0,0.71,0.21000000000000002,10.3,0.0
12,Sweets,6,350.0,361.0,9.600000000000001,18.2,81.0,115.0,146.0,11.600000000000001,0.0,0.0,1.11,0.0,57.0
13,Biscuit,5,130.5,595.0,15.5,19.5,80.3,53.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
14,Fried Pork,5,520.04,1860.0,82.9,156.4,30.0,160.0,921.0,6.2,205.0,2.5900000000000003,0.8600000000000001,38.1,8.0
15,Canned Processed Meat,5,164.0,325.0,25.2,22.2,6.5,28.0,125.0,9.8,6.0,0.01,0.15,4.4,0.0
16,Boiled Pork,4,382.74,666.0,40.5,55.800000000000004,0.30000000000000004,99.0,485.0,3.8000000000000003,79.0,0.83,0.4,16.900000000000002,3.0
17,Coffee,4,40.0,180.0,0.4,5.6,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Baked Bread,3,146.66,475.0,15.2,5.5,91.0,68.0,132.0,4.5,2.0,0.4,0.23,6.5,0.0
19,Condiment,3,12.5,14.0,0.2,0.0,3.4,4.0,4.0,0.2,0.0,0.0,0.0,0.1,0.0
20,Fried Vegetable,3,153.36,41.0,1.6,0.2,8.3,51.0,44.0,0.8,20.0,0.14,0.07,1.2,4.0
21,Raw Fruit,2,125.0,131.0,1.5,0.4,30.5,21.0,43.0,0.8999999999999999,6.0,0.03,0.03,1.0,26.0
22,Fruit,2,100.0,90.0,0.8,0.30000000000000004,20.9,14.0,20.0,0.7,37.0,0.05,0.03,0.5,39.0
23,Fried Beef,2,74.85,143.0,5.3,8.7,10.3,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
24,Roasted Others,2,60.0,116.0,9.3,8.0,1.9,35.0,62.0,0.6000000000000001,517.0,0.08,0.16,3.5,0.0
25,Fresh Fruit,2,170.0,90.0,0.8,0.6,20.6,58.0,18.0,1.8,128.0,0.06,0.06,1.0,126.0
26,Fried Chicken,2,89.22,132.0,11.7,9.5,0.0,20.0,78.0,0.7,13.0,0.05,0.08,5.1,3.0
27,Boiled Leafy Vegetable,2,52.2,33.0,1.6,0.5,5.5,51.0,16.0,0.9,246.0,0.04,0.07,0.9,28.0
28,Stir-fried Pork/Chicken,1,23.33,29.0,4.2,0.9,0.9,3.0,35.0,0.8,2153.0,0.07,1.05,3.3,8.0
29,Others,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Vegetable,1,257.0,917.0,21.3,3.9,199.2,28.0,221.0,1.0,0.0,0.21,0.13,5.1,0.0
31,Boiled Chicken/Beef/Pork,1,30.0,33.0,3.4,0.7,3.1,5.0,32.0,0.1,3.0,0.0,0.02,1.1,0.0
32,Sauteed Pork,1,20.79,81.0,3.0,7.7,0.0,3.0,23.0,0.2,1.0,0.12,0.02,1.4,0.0
33,Cereals,1,40.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
